Country,Holiday
Belgium,01/01/21
Belgium,04/04/21
Belgium,04/05/21
Belgium,05/01/21
Belgium,05/13/21
Belgium,05/23/21
Belgium,05/24/21
Belgium,07/21/21
Belgium,08/15/21
Belgium,11/01/21
Belgium,11/11/21
Belgium,12/25/21
Belgium,01/01/20
Belgium,04/12/20
Belgium,04/13/20
Belgium,05/01/20
Belgium,05/21/20
Belgium,05/31/20
Belgium,06/01/20
Belgium,07/21/20
Belgium,08/15/20
Belgium,11/01/20
Belgium,11/11/20
Belgium,12/25/20
Belgium,01/01/19
Belgium,04/21/19
Belgium,04/22/19
Belgium,05/01/19
Belgium,06/09/19
Belgium,06/10/19
Belgium,07/21/19
Belgium,08/15/19
Belgium,11/01/19
Belgium,11/11/19
Belgium,12/25/19
Belgium,01/01/18
Belgium,04/01/18
Belgium,04/02/18
Belgium,05/01/18
Belgium,05/10/18
Belgium,05/20/18
Belgium,05/21/18
Belgium,07/21/18
Belgium,08/15/18
Belgium,11/01/18
Belgium,11/11/18
Belgium,12/25/18
Belgium,01/01/17
Belgium,04/16/17
Belgium,04/17/17
Belgium,05/01/17
Belgium,05/25/17
Belgium,06/04/17
Belgium,06/05/17
Belgium,07/21/17
Belgium,08/15/17
Belgium,11/01/17
Belgium,11/11/17
Belgium,12/25/17
France,01/01/17
France,01/02/17
France,04/17/17
France,05/01/17
France,05/08/17
France ,05/25/17
France,06/05/17
France,07/14/17
France,08/15/17
France,11/01/17
France,11/11/17
France,12/25/17
France,01/01/18
France,04/02/18
France,05/01/18
France,05/08/18
France,05/10/18
France,05/21/18
France,07/14/18
France,08/15/18
France,11/01/18
France,11/11/18
France,12/25/18
France,01/01/19
France,04/22/19
France,05/01/19
France,05/08/19
France,05/30/19
France,06/10/19
France,07/14/19
France,08/15/19
France,11/01/19
France,11/11/19
France,12/25/19
France,01/01/20
France,04/13/20
France,05/01/20
France,05/08/20
France,05/21/20
France,06/01/20
France,07/14/20
France,08/15/20
France,11/01/20
France,11/11/20
France,12/25/20
France,01/01/21
France,04/05/21
France,05/01/21
France,05/08/21
France,05/13/21
France,05/24/20
France,07/14/21
France,08/15/21
France,11/01/21
France,11/11/21
France,12/25/21
Italy,01/01/21
Italy,01/06/21
Italy,04/04/21
Italy,04/05/21
Italy,04/25/21
Italy,05/01/21
Italy,06/02/21
Italy,08/15/21
Italy,11/01/21
Italy,12/08/21
Italy,12/25/21
Italy,12/26/21
Italy,01/01/20
Italy,01/06/20
Italy,04/12/20
Italy,04/13/20
Italy,04/25/20
Italy,05/01/20
Italy,06/02/20
Italy,08/15/20
Italy,11/01/20
Italy,12/08/20
Italy,12/25/20
Italy,12/26/20
Italy,01/01/19
Italy,01/06/19
Italy,04/21/19
Italy,04/22/19
Italy,04/25/19
Italy,05/01/19
Italy,06/02/19
Italy,08/15/19
Italy,11/01/19
Italy,12/08/19
Italy,12/25/19
Italy,12/26/19
Italy,01/01/18
Italy,01/06/18
Italy,04/01/18
Italy,04/02/18
Italy,04/25/18
Italy,05/01/18
Italy,06/02/18
Italy,08/15/18
Italy,11/01/18
Italy,12/08/18
Italy,12/25/18
Italy,12/26/18
Italy,01/01/17
Italy,01/06/17
Italy,04/16/17
Italy,04/17/17
Italy,04/25/17
Italy,05/01/17
Italy,06/02/17
Italy,08/15/17
Italy,11/01/17
Italy,12/08/17
Italy,12/25/17
Italy,12/26/17
Germany,01/01/17
Germany,04/14/17
Germany ,04/17/17
Germany,05/01/17
Germany,05/25/17
Germany,06/05/17
Germany,10/03/17
Germany,10/31/17
Germany,12/25/17
Germany,12/26/17
Germany,01/01/18
Germany,03/30/18
Germany ,04/02/18
Germany,05/01/18
Germany,05/10/18
Germany,05/21/18
Germany,10/03/18
Germany,12/25/18
Germany,12/26/18
Germany,01/01/19
Germany,04/19/19
Germany ,04/22/19
Germany,05/01/19
Germany,05/30/19
Germany,06/10/19
Germany,10/03/19
Germany,12/25/19
Germany,12/26/19
Germany,01/01/20
Germany,04/10/20
Germany,04/13/20
Germany,05/01/20
Germany,05/21/20
Germany,06/01/20
Germany,10/03/20
Germany,12/03/20
Germany,12/25/20
Germany,12/26/20
Germany,01/01/21
Germany,04/02/21
Germany,04/05/21
Germany,05/01/21
Germany,05/13/21
Germany,05/24/21
Germany,10/03/21
Germany,12/25/21
Germany,12/26/21
Poland,01/01/21
Poland,01/06/21
Poland,04/04/21
Poland,04/05/21
Poland,05/01/21
Poland,05/03/21
Poland,05/23/21
Poland,06/03/21
Poland,08/15/21
Poland,11/01/21
Poland,11/11/21
Poland,12/25/21
Poland,12/26/21
Poland,01/01/20
Poland,01/06/20
Poland,04/12/20
Poland,04/13/20
Poland,05/01/20
Poland,05/03/20
Poland,05/31/20
Poland,06/11/20
Poland,08/15/20
Poland,11/01/20
Poland,11/11/20
Poland,12/25/20
Poland,12/26/20
Poland,01/01/19
Poland,01/06/19
Poland,04/21/19
Poland,04/22/19
Poland,05/01/19
Poland,05/03/19
Poland,06/09/19
Poland,06/20/19
Poland,08/15/19
Poland,11/01/19
Poland,11/11/19
Poland,12/25/19
Poland,12/26/19
Poland,01/01/18
Poland,01/06/18
Poland,04/01/18
Poland,04/02/18
Poland,05/01/18
Poland,05/03/18
Poland,05/31/18
Poland,08/15/18
Poland,11/01/18
Poland,11/11/18
Poland,12/25/18
Poland,12/26/18
Poland,01/01/17
Poland,01/06/17
Poland,04/16/17
Poland,04/17/17
Poland,05/01/17
Poland,05/03/17
Poland,06/04/17
Poland,06/15/17
Poland,08/15/17
Poland,11/01/17
Poland,11/11/17
Poland,12/25/17
Poland,12/26/17
Spain,01/01/21
Spain,01/06/21
Spain,04/02/21
